49	9998	2	5	1	3	9998	9998	9998	4	9998	0	1	0	1	1	0	0	0	1	0	72	74	72	73	71	72	72	73	74	74	74	74	7	8	1	74	2	74	2	1	9998	1	1	3	3	0	0	1	1	1	1	4	2	6	1985	0	2	9	5	77
50	9998	2	3	1	4	9998	9998	9998	5	9998	0	1	1	1	1	0	0	0	1	0	72	74	72	73	71	72	72	73	74	74	74	74	7	9	0	75	1	74	2	8	24	8	8	2	3	1	1	1	1	0	0	1	3	8	1979	0	1	2	6	24
51	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	206
52	9998	3	1	9998	2	9998	9998	9998	9998	9998	0	1	1	0	1	0	0	0	0	0	72	72	72	73	71	73	72	73	71	72	73	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	41
53	3	2	1	9998	4	9998	9998	9998	9998	9998	1	1	1	0	0	0	0	0	0	0	73	73	72	73	71	73	72	73	71	72	73	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	157
54	9	5	6	1	3	10	8	4	2	7	0	0	0	1	1	0	0	0	1	0	74	74	72	73	0	0	72	73	74	74	74	74	9	9	1	74	2	74	1	1	9998	1	2	1	1	1	1	0	1	1	1	2	3	3	1984	0	1	3	5	77
55	3	2	9998	9998	1	9998	9998	9998	9998	9998	0	1	0	0	1	0	0	0	0	0	72	75	72	71	71	72	72	73	71	72	74	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	232
56	9998	2	9998	1	4	9998	9998	9998	3	9998	0	1	0	1	0	0	0	0	0	0	74	74	72	73	0	72	72	73	74	74	74	74	10	10	1	74	1	74	1	1	9998	1	1	1	2	1	1	0	0	0	0	1	3	1	1974	0	1	2	5	77
57	9998	3	9998	2	1	9998	9998	9998	9998	9998	0	0	0	1	0	0	0	0	0	0	72	75	72	73	0	72	72	0	74	74	74	74	8	7	1	75	2	75	1	1	9998	1	1	2	3	0	1	1	1	1	1	4	2	8	195	0	1	5	5	77
58	9998	3	1	9998	2	9998	9998	9998	9998	9998	0	1	1	0	1	0	0	0	0	0	73	73	72	73	71	73	72	73	74	72	73	74	10	10	1	73	2	73	2	1	9998	1	1	1	1	1	0	0	1	0	0	9	3	2	1981	0	1	4	6	77
59	9998	2	6	1	3	9998	9998	5	4	9998	0	1	0	1	0	0	0	0	0	0	72	74	72	73	0	72	72	73	74	74	74	74	8	8	0	74	2	74	9	1	9998	1	1	2	2	1	1	0	0	0	0	4	3	5	1985	0	1	1	5	77
60	9998	1	2	3	4	9998	9998	9998	9998	9998	0	1	1	1	1	0	0	0	0	0	72	72	72	73	71	72	72	73	74	72	73	74	8	8	1	72	3	72	1	1	9998	1	1	1	1	1	0	1	0	0	0	2	3	7	1985	0	2	1	5	77
61	9998	2	9998	3	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	72	75	72	0	0	72	72	73	74	72	0	74	9	9	1	75	2	75	1	1	9998	1	1	2	3	1	1	1	0	0	0	1	3	4	1976	0	2	2	6	110
62	4	1	2	3	9998	9998	5	9998	9998	9998	0	1	1	1	0	0	0	0	0	0	72	72	72	73	71	72	72	73	74	72	73	74	8	8	1	72	3	72	1	1	9998	1	1	2	2	1	0	1	1	0	0	2	9	3	1988	0	1	4	6	77
63	9998	9998	9998	3	1	9998	9998	2	9998	9998	0	1	0	1	1	0	0	1	0	0	72	75	72	0	0	72	72	0	74	74	74	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	41
